Clock frequency is approx. 2918.8 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	16127.3	11699.8	9541.3	7618.7	7204.6	6470.8	5740.8	4640.2	4869.9	4685.1	4343.1	4137.2	3470.2	3886.9	3850.9	2974.2	3733.4	3695.3	3814.2	4135.5	4239.0	3818.0	3986.1	5008.6	3945.1	3921.4	3905.1	3948.4	3922.9	4034.7	4196.5	2450.2	3672.2	3688.1	3671.4	3879.9	3795.3	3788.2	3818.1	4667.1	3719.9	3799.9	4106.5	4676.4	4148.2	4105.0	4296.0	4828.5	5448.5	4165.0	4745.3	4676.4	4096.5	4294.7	4465.4	9409.2	4330.2	4049.8	4113.4	4378.2	3949.9	4015.1	5687.6	2251.1	
16m	17155.6	16776.2	16122.8	14888.2	13391.9	11466.9	9930.6	7802.4	8011.0	7498.4	4999.3	5197.5	6816.6	7185.8	7027.3	5296.1	6491.4	4969.8	5088.6	5634.7	4988.0	5184.1	5641.3	6034.7	3956.4	5050.9	5321.3	5235.6	3867.0	4744.0	5293.4	3696.6	3961.0	4542.3	3698.7	3873.3	4028.4	4032.6	4090.9	4933.6	3991.3	4119.7	5618.8	5293.5	5332.1	5240.3	6097.2	4866.5	6268.6	5091.7	5293.1	6368.4	6085.9	4532.8	5758.9	9113.3	6400.5	4173.8	4113.9	6223.0	5104.2	4080.8	4997.7	2579.0	
8m	17991.9	18339.1	18318.9	17378.4	14769.1	12865.2	11381.9	10328.9	9454.8	8808.6	8307.9	7927.9	7353.4	7137.0	6914.6	5567.1	6391.1	6074.9	5871.9	5941.8	5821.4	5565.2	5589.9	6710.2	5445.7	5389.6	5418.9	5386.2	5283.4	5267.9	5457.1	4110.8	5366.4	5198.8	5176.5	5435.7	5356.1	5314.1	5249.5	6501.3	5242.1	5318.7	6309.8	6545.2	6512.5	6475.4	9350.8	5400.3	8307.7	6108.4	6565.6	9895.8	7154.7	11002.7	14130.8	15639.8	14344.4	7816.2	12600.8	14149.8	14839.9	14566.1	13905.1	2992.9	
4m	15566.0	15963.9	15961.2	15830.8	13849.6	12058.2	10745.8	9775.5	9066.5	8521.5	7972.0	7528.4	6788.6	6598.4	6378.7	5111.3	5877.7	5630.8	5430.9	5614.1	5637.9	5425.4	5653.8	7090.4	5557.3	5526.0	5890.0	6080.5	5996.3	6258.7	7045.5	4040.0	7365.4	7562.2	8760.3	16156.7	17022.0	17111.1	17320.0	17487.1	17533.5	17529.8	13589.7	17521.2	17472.8	17520.6	17509.8	8937.2	17486.3	17529.2	17496.1	17519.6	17512.2	17528.2	17526.7	17511.5	17518.6	17516.5	17486.6	17511.2	17515.7	17511.4	17516.1	4892.8	
2m	17561.9	17555.2	17551.2	17021.1	15133.9	13162.2	11797.9	10764.9	10380.2	10191.8	9929.9	9968.3	9566.5	9857.7	10157.3	5984.7	11895.2	10732.4	11090.1	13507.7	14607.8	16496.9	17128.2	17138.1	17117.4	17114.6	17058.7	17073.9	14231.0	17117.4	17101.9	4374.1	17111.7	17100.4	17109.1	17088.7	17065.8	17078.4	17078.7	17044.7	17089.9	17085.9	17084.8	17036.1	17067.2	17082.0	17064.7	16935.3	17056.6	17065.0	17029.2	17025.3	17074.5	17025.4	17069.7	16983.7	17056.7	17049.4	17002.0	17042.9	17013.6	17051.6	16986.3	3658.9	
1024k	17148.0	17155.8	17160.6	17152.0	16822.9	16253.5	15851.9	14951.4	15882.0	16879.5	17046.7	17145.0	17119.6	17108.6	17100.2	12140.6	17116.6	17105.9	17114.7	17056.1	17097.9	17086.3	17060.1	17080.5	17036.5	17064.8	17035.6	17073.9	17049.4	17031.5	17016.4	11369.9	17030.0	16990.6	17006.0	17016.9	16970.9	17020.7	16978.7	16950.3	16988.8	16923.2	16970.8	16982.0	16952.0	16947.1	16984.6	16805.9	16908.4	16946.4	16876.0	16902.7	16934.3	16898.5	16873.0	16920.1	16917.0	16890.6	16863.9	16868.1	16904.2	16847.5	16821.6	11147.3	
512k	17156.6	17152.8	17162.3	17146.6	17148.1	17101.3	17132.7	17106.7	17099.0	17067.6	17061.2	17071.4	17040.1	17052.5	17048.5	16886.3	17042.1	17016.9	16992.0	17003.1	16954.7	16948.9	16964.4	16921.9	16909.0	17000.3	16938.9	16878.3	16923.1	16912.9	16859.0	15961.9	16850.0	16907.6	16841.7	16814.4	16784.4	16807.6	16840.2	16779.4	16751.8	16728.9	16770.1	16768.4	16767.4	16750.1	16697.1	16398.8	16735.5	16705.1	16651.2	16625.7	16631.9	16669.9	16660.0	16581.3	16696.1	16593.2	16583.5	16561.4	16590.2	16609.4	16569.2	15628.1	
256k	17129.7	17146.6	17133.5	17119.0	17105.7	17057.7	17084.5	17012.4	17057.9	17018.2	16982.0	17021.2	16961.1	16899.2	16957.9	16744.4	16907.6	16867.8	16835.7	16883.0	16868.3	16849.7	16817.9	16760.9	16741.7	16739.2	16768.5	16764.4	16719.4	16691.5	16609.4	15526.6	16583.8	16645.0	16610.2	16629.0	16621.3	16584.8	16568.7	16517.3	16542.6	16500.3	16505.7	16591.0	16539.0	16499.4	16278.2	15939.7	16574.0	16558.9	16522.8	16458.3	16480.0	16436.1	16443.4	16382.5	16370.3	16446.6	16415.6	16433.4	16373.6	16410.6	16368.2	14759.8	
128k	17137.4	17106.7	17098.8	17036.7	17033.4	16975.9	16920.1	16946.1	16908.0	16853.3	16800.8	16743.3	16758.3	16743.9	16757.3	16199.8	16645.0	16603.1	16557.6	16488.8	16500.3	16559.4	16499.4	16569.3	16558.9	16532.3	16360.2	16421.9	16405.6	16391.1	16323.8	14796.4	16279.0	16260.2	16262.0	16245.4	16306.7	16237.1	16183.5	16152.1	16195.4	16089.6	16058.8	16096.7	16037.0	15514.4	15649.4	16000.7	15928.4	15938.0	15960.3	15852.2	15829.5	15742.2	15808.0	15810.3	15826.3	15774.2	15734.7	15624.3	15752.8	15660.9	15647.3	13463.4	
64k	17128.2	17073.2	17003.1	16886.3	16823.6	16796.3	16764.4	16697.6	16629.0	16517.3	16496.6	16500.7	16458.3	16461.4	16391.1	15730.9	16307.3	16195.9	16184.9	16152.1	16089.6	15978.4	16053.5	16000.7	15938.0	15852.2	15812.4	15883.8	15699.1	15701.2	15581.8	13837.4	15574.9	15537.5	15522.8	15442.6	15384.6	15341.6	15134.6	15226.2	15143.7	15077.3	15028.0	14986.6	14964.1	14041.9	14958.9	14978.1	14782.0	14820.4	14766.5	14710.8	14785.5	14752.2	14730.1	14719.9	14581.4	14581.2	14463.8	14487.9	14379.9	14283.3	14184.9	12149.9	
